   Step          Temp          Press          Volume        Density         TotEng         PotEng         KinEng    
    275000   3008.8981      1712.5579      241099.18      0.82147263    -209116.58     -211222.25      2105.6703    
    276000   2996.9266      1181.9174      241263.89      0.82091182    -209140.07     -211237.36      2097.2924    
    277000   2915.9579      1744.0536      241496.72      0.82012035    -209162.96     -211203.59      2040.6294    
    278000   2923.0918      1864.9358      241682.72      0.81948918    -209185.62     -211231.24      2045.6218    
    279000   2906.6993     -371.52477      241868.5       0.81885972    -209207.41     -211241.56      2034.1501    
    280000   2928.3673      1301.1085      242031.72      0.81830752    -209229.22     -211278.53      2049.3136    
    281000   2911.3302      1605.6064      242139.65      0.81794278    -209250.56     -211287.95      2037.3909    
    282000   2916.5968     -2507.5157      242158.81      0.81787807    -209271.39     -211312.46      2041.0765    
    283000   2884.1793     -1352.7722      242124         0.81799565    -209291.59     -211309.98      2018.3903    
    284000   2906.2653     -346.99464      242106.07      0.81805623    -209311.38     -211345.23      2033.8464    
    285000   2893.7697      3153.7858      242028.96      0.81831686    -209330.42     -211355.52      2025.1018    
    286000   2832.1947     -1225.3105      241968.28      0.81852208    -209348.85     -211330.86      1982.0107    
    287000   2852.5473     -720.19764      241929.15      0.81865446    -209366.56     -211362.82      1996.2538    
    288000   2812.2897      744.67867      241886.54      0.81879868    -209383.69     -211351.77      1968.0809    
    289000   2811.6058      957.85064      241878         0.81882757    -209400.16     -211367.76      1967.6023    
    290000   2791.9234      214.77521      241869.4       0.81885669    -209415.89     -211369.71      1953.8283    
    291000   2810.7773      541.80889      241900.26      0.81875224    -209430.91     -211397.93      1967.0225    
    292000   2818.4404      523.00228      241913.92      0.81870598    -209445.14     -211417.52      1972.3852    
    293000   2765.9775     -629.85849      241965.76      0.81853057    -209458.58     -211394.25      1935.6709    
    294000   2744.9713     -694.38519      241996.35      0.81842713    -209471.17     -211392.14      1920.9705    
    295000   2757.7493     -1771.2062      241972.06      0.81850928    -209483.08     -211413         1929.9128    
    296000   2744.4067     -863.50835      241844.03      0.81894257    -209494.13     -211414.71      1920.5754    
    297000   2761.8806      1245.537       241706.12      0.81940984    -209504.98     -211437.79      1932.8039    
    298000   2765.128      -203.22693      241553.16      0.81992872    -209514.41     -211449.49      1935.0765    
    299000   2739.2081      1348.7033      241382.84      0.82050728    -209523.09     -211440.03      1916.9374    
    300000   2765.1338     -525.2626       241264.19      0.8209108     -209530.92     -211466         1935.0806    
    301000   2742.8367     -759.00925      241174.32      0.8212167     -209537.85     -211457.33      1919.4767    
    302000   2718.4968      171.71577      241108.02      0.82144252    -209543.97     -211446.41      1902.4433    
